fold,4S - 2H
fold,5H - AS
call,JC - AD
fold,5D - 9D
call,AH - JC
fold,7D - KH
call,QS - AC
fold,9D - QH
call,7C - AC
fold,3S - 6C
fold,7H - JD
fold,8C - 7H
call,3S - 6C
fold,4H - AD
fold,7H - AH
call,9D - 7C
call,2D - 4D
call,10S - 3S
fold,3H - JH
fold,7C - 9C
fold,AD - 8H
fold,3C - QC
call,2C - AC
fold,9S - JH
raise,QS - JS
fold,3C - 7H
fold,3H - JS
fold,AH - 4D
fold,7S - 5C
call,KC - QD
raise,AH - 7H
fold,2D - 2C
fold,8S - 3H
raise,AC - 9C
fold,AC - 9C
fold,AC - 6H
fold,4S - 6C
fold,5H - QD
fold,QD - 3C
raise,KD - AH
call,9H - AD
raise,2C - AC
fold,5D - 8D
fold,4S - 8S
fold,3S - 10S
fold,AS - 6S
fold,6D - JH
raise,JC - AC
raise,JC - AC
fold,9H - JD
raise,10D - JC
fold,4D - 3D
raise,AD - JH
fold,6S - 4S
fold,3H - 10C
fold,3H - 6D
fold,6S - 8C
fold,3S - JH
call,AS - 4S
fold,AS - 4S
fold,5D - 9C
fold,AH - 9C
fold,9S - 6S
fold,7H - 8S
fold,4S - AH
fold,QH - 7C
raise,KC - AC
fold,JS - 7D
fold,4D - JH
raise,KC - KS
call,10C - KC
fold,10C - KC
fold,7D - 7S
fold,AC - 8D
fold,AD - 8C
fold,7D - 10D
raise,AD - AH
raise,AD - JC
call,AD - JC
fold,5S - 8C
raise,10H - JS
fold,QD - 2S
raise,8H - 10H
call,5C - 5D
fold,3D - 2H
raise,5S - 5D
fold,5S - 5D
fold,6D - QS
fold,10H - 8C
fold,4D - 4S
fold,AS - 6C
fold,9S - KH
fold,3S - 3D
fold,2H - 10C
fold,2S - 4D
fold,3H - 2D
call,QC - 3D
call,10S - 10C
fold,3S - 4D
call,9D - 10H
fold,9D - 10H
fold,KC - 7D
raise,JS - 8S
fold,JS - 8S
fold,6D - 2S
fold,3H - 2C
fold,9S - 3C
fold,3C - 10S
fold,7D - 8S
fold,3S - 3C
call,4D - KD
fold,2S - 4D
fold,5H - 8S
fold,JC - 7H
fold,2S - 5S
fold,KD - 3D
fold,QD - QH
fold,6C - 9S
fold,QH - 7H
fold,6S - 4C
call,10H - QC
raise,8S - 9S
fold,8S - 9S
fold,KD - 8D
call,2S - 10C
fold,2S - 3C
call,6C - 3D
fold,6D - 7S
fold,9H - 5D
fold,8S - JD
fold,QH - KS
call,9D - JD
fold,QC - 5D
raise,10C - AD
call,10C - AD
call,8S - QH
fold,KS - 10S
fold,10D - 2D
fold,4H - 7D
fold,4H - 4C
fold,8C - 10C
fold,AC - 3S
fold,2C - 2S
fold,4S - 9C
fold,3H - 8D
fold,5C - 7D
call,9H - 4C
fold,10H - KC
fold,2S - QC
fold,6H - 10D
fold,3D - 6S
fold,3C - 9D
fold,6C - 6S
fold,10H - 8S
fold,2C - 4C
fold,5S - 5H
fold,9D - 3D
fold,6C - 9C
fold,10H - 8D
fold,6C - 6H
fold,3S - 5H
fold,3S - 9C
fold,2D - 10D
fold,AD - 6H
fold,JH - 4D
fold,AC - 7S
fold,5C - 3C
fold,4D - 3H
fold,7C - 2H
fold,KH - 3C
fold,10D - 7S
call,7S - JD
fold,AS - 4S
raise,9C - 10D
fold,9C - 10D
raise,JD - JC
raise,JD - JC
call,QC - KS
call,10C - 9H
fold,10C - 9H
fold,7C - 4D
fold,9S - JC
fold,7C - 10S
fold,6C - 3D
fold,KS - 7H
fold,3S - 6C
fold,AH - 7H
fold,6C - 4H
fold,10C - 5S
call,AS - 5S
fold,AS - 5S
fold,KC - 9H
fold,JD - 9C
raise,JC - JS
raise,JC - JS
fold,4C - 10C
fold,10S - 2D
fold,AD - 9S
call,7D - 8S
fold,2C - JD
raise,5S - 6S
call,5S - 6S
fold,JH - 2C
fold,2D - QS
fold,QS - 6S
fold,3H - KS
call,2D - 4C
fold,JH - 9D
fold,6C - 4D
fold,9D - 5C
fold,6C - 5S
fold,2D - 2C
call,QH - AS
fold,AD - 4C
fold,2C - 9S
fold,JC - AD
fold,10S - 6S
fold,3S - 3C
fold,KD - 6H
fold,2C - 2H
fold,JH - KC
fold,6D - 5S
fold,9D - QD
raise,7H - 7S
fold,7H - 7S
fold,2D - QD
fold,2D - JS
fold,5S - 5H
fold,JD - 5D
fold,7S - 10D
fold,7S - QH
fold,AS - 6D
fold,4H - 10H
fold,KD - 10S
fold,3D - 3S
fold,8H - 7S
raise,QH - KD
raise,10H - AD
fold,QH - 3H
fold,AH - 5D
fold,6D - 2D
fold,7C - KH
raise,2D - AD
fold,KH - QD
fold,7H - 9S
fold,8C - 10S
fold,8C - JS
call,QC - 8H
fold,2C - 3S
raise,10H - JC
raise,AS - 8S
fold,AS - 8S
raise,5S - 5H
fold,7D - 5D
fold,10H - 6D
call,AD - KS
fold,10S - AH
call,JD - 4D
fold,JD - 4D
fold,7C - KD
fold,AC - 6D
fold,2S - 4D
fold,4C - 5H
fold,8C - QH
fold,9S - 6D
fold,8C - 7H
fold,2C - QH
call,2C - 2H
fold,QH - JC
fold,3C - AD
fold,6H - QC
fold,10D - JS
fold,AD - 4C
fold,2S - 3S
fold,AH - 3D
call,4S - AC
fold,8D - KS
fold,4C - 3H
fold,6C - JC
call,3D - 8H
fold,3H - 8D
fold,10D - 2S
raise,9C - 9D
fold,4S - 4D
fold,AS - 3S
fold,10H - 3C
fold,3D - 7S
fold,3D - 6H
call,JS - AH
fold,5C - AH
fold,10D - 6C
call,10S - JC
fold,3S - AH
fold,QC - 5C
fold,5S - QD
call,QC - JC
fold,9H - 5C
fold,4S - 4C
fold,7D - 10H
call,AD - JS
fold,QH - 2H
fold,5S - 7H
fold,3C - KH
fold,AC - 7H
fold,JD - 8C
fold,AH - 9C
fold,3D - 4C
fold,JD - 4C
fold,7D - 4H
call,4H - QS
fold,3C - QS
fold,9H - QH
call,10D - JC
fold,10D - JC
fold,JH - JS
fold,7H - 9D
fold,4C - 9H
fold,3H - 7S
fold,2D - QD
raise,KH - AS
